transaction_id,user_id,description,amount_inr,category,date,month,year
TXN544154,U00002,Zomato delivery,2323.49,Food,2024-06-30,6,2024
TXN806073,U00002,Sports gear,3030.24,Shopping,2024-01-28,1,2024
TXN939482,U00002,Medicine pharmacy,259.11,Health,2024-06-22,6,2024
TXN570405,U00002,Grocery store,710.99,Food,2024-10-01,10,2024
TXN361941,U00002,Auto rickshaw,683.03,Transport,2024-08-24,8,2024
TXN202664,U00002,Vegetable market,2837.68,Food,2024-10-08,10,2024
TXN890170,U00002,Milk dairy,2934.3,Food,2024-02-17,2,2024
TXN324130,U00002,Metro card recharge,1452.13,Transport,2024-09-03,9,2024
TXN509386,U00002,Amazon purchase,618.0,Shopping,2024-01-02,1,2024
TXN865990,U00002,Property tax,1034.11,Bills,2024-12-22,12,2024
TXN328275,U00002,Books purchase,584.05,Entertainment,2024-05-31,5,2024
TXN884309,U00002,Street food,2588.29,Food,2024-02-01,2,2024
TXN627276,U00002,Electricity bill,222.99,Bills,2024-09-01,9,2024
TXN184002,U00002,Spotify music,246.23,Entertainment,2024-09-17,9,2024
TXN346629,U00002,Ola cab,2102.87,Transport,2024-12-11,12,2024
TXN358175,U00002,Flipkart order,3298.51,Shopping,2024-10-18,10,2024
TXN539589,U00002,Bowling night,187.11,Entertainment,2024-02-11,2,2024
TXN373432,U00002,Vitamin supplements,2000.03,Health,2024-06-10,6,2024
TXN237235,U00002,Bus ticket,873.47,Transport,2024-07-21,7,2024
TXN109767,U00002,Dental checkup,1627.42,Health,2024-02-07,2,2024
TXN176819,U00002,Accessories,3494.67,Shopping,2024-02-21,2,2024
TXN465962,U00002,Gaming purchase,1795.3,Entertainment,2024-03-08,3,2024
TXN559469,U00002,Grocery store,1324.87,Food,2024-03-21,3,2024
TXN654634,U00002,Concert tickets,2160.29,Entertainment,2024-11-30,11,2024
TXN208618,U00002,Milk dairy,1082.86,Food,2024-12-05,12,2024
TXN878480,U00002,Rapido bike,448.23,Transport,2024-02-24,2,2024
TXN320861,U00002,Spotify music,989.6,Entertainment,2024-11-05,11,2024
TXN994343,U00002,Health insurance,752.41,Health,2024-11-20,11,2024
TXN196781,U00002,Wifi bill,1735.43,Bills,2024-01-27,1,2024
TXN103717,U00002,Yoga class,2911.25,Health,2024-01-23,1,2024
TXN269430,U00002,Mobile recharge,2248.04,Bills,2024-05-14,5,2024
TXN688153,U00002,Lab test,1953.3,Health,2024-08-06,8,2024
TXN256294,U00002,Zomato delivery,309.59,Food,2024-12-19,12,2024
TXN550664,U00003,Dominos pizza,2059.66,Food,2024-03-16,3,2024
TXN475190,U00003,Uber ride,1113.49,Transport,2024-01-21,1,2024
TXN918011,U00003,Petrol fuel,2350.92,Transport,2024-06-30,6,2024
TXN348237,U00003,Theme park,3409.74,Entertainment,2024-03-20,3,2024
TXN288073,U00003,Metro card recharge,3090.89,Transport,2024-01-13,1,2024
TXN941204,U00003,Health insurance,2749.23,Health,2024-07-29,7,2024
TXN213346,U00003,Doctor consultation,970.48,Health,2024-12-25,12,2024
TXN309267,U00003,Amazon purchase,3012.15,Shopping,2024-04-23,4,2024
TXN333752,U00003,Mall shopping,1102.91,Shopping,2024-04-26,4,2024
TXN172792,U00003,Grocery store,1424.71,Food,2024-05-22,5,2024
TXN812526,U00003,DTH recharge,2263.11,Bills,2024-07-23,7,2024
TXN373903,U00003,Amazon Prime,3290.37,Entertainment,2024-02-29,2,2024
TXN140115,U00003,Toll charge,3370.74,Transport,2024-05-15,5,2024
TXN557592,U00003,Street food,1549.24,Food,2024-06-09,6,2024
TXN299312,U00003,Hotstar subscription,448.98,Entertainment,2024-10-22,10,2024
TXN645175,U00003,Electricity bill,2495.31,Bills,2024-01-01,1,2024
TXN796503,U00003,Gaming purchase,1306.56,Entertainment,2024-02-05,2,2024
TXN854717,U00003,Cable TV,1133.01,Bills,2024-03-04,3,2024
TXN442027,U00003,Wifi bill,1117.03,Bills,2024-07-28,7,2024
TXN540869,U00003,Electronics buy,1962.72,Shopping,2024-04-08,4,2024
TXN745414,U00003,Yoga class,2386.75,Health,2024-03-30,3,2024
TXN418635,U00003,Concert tickets,1450.96,Entertainment,2024-01-01,1,2024
TXN736130,U00003,Water bill,1533.11,Bills,2024-10-23,10,2024
TXN808446,U00003,Health insurance,1654.21,Health,2024-08-14,8,2024
TXN790855,U00003,Flight booking,1682.49,Transport,2024-03-27,3,2024
TXN749342,U00003,Cafe coffee,1828.31,Food,2024-11-20,11,2024
TXN805477,U00003,Internet broadband,2873.56,Bills,2024-04-30,4,2024
TXN125611,U00003,Water bill,2832.64,Bills,2024-03-16,3,2024
TXN991014,U00003,Grocery store,3444.58,Food,2024-11-08,11,2024
TXN703634,U00003,Vegetable market,1479.82,Food,2024-11-18,11,2024
TXN254739,U00003,Auto rickshaw,1755.6,Transport,2024-05-04,5,2024
TXN916232,U00003,Hospital visit,3129.68,Health,2024-02-24,2,2024
TXN643118,U00003,Shoes purchase,656.81,Shopping,2024-12-22,12,2024
TXN578634,U00003,Amazon purchase,1973.05,Shopping,2024-03-03,3,2024
TXN724377,U00003,Train ticket,2353.14,Transport,2024-10-13,10,2024
TXN547470,U00003,Property tax,2163.65,Bills,2024-09-15,9,2024
TXN571932,U00003,Books purchase,3145.37,Entertainment,2024-08-31,8,2024
TXN608136,U00004,Rapido bike,2692.06,Transport,2024-09-23,9,2024
TXN848206,U00004,Doctor consultation,997.36,Health,2024-02-09,2,2024
TXN666390,U00004,Water bill,987.42,Bills,2024-06-12,6,2024
TXN827659,U00004,Restaurant dinner,570.37,Food,2024-07-15,7,2024
TXN446954,U00004,Petrol fuel,271.59,Transport,2024-07-27,7,2024
TXN973349,U00004,Books purchase,1484.42,Entertainment,2024-04-15,4,2024
TXN829308,U00004,Myntra fashion,3171.69,Shopping,2024-10-26,10,2024
TXN468845,U00004,Street food,1362.31,Food,2024-01-04,1,2024
TXN664365,U00004,Insurance premium,2994.4,Bills,2024-08-02,8,2024
TXN611945,U00004,Eye checkup,2809.55,Health,2024-04-22,4,2024
TXN507746,U00004,Rapido bike,1553.63,Transport,2024-01-15,1,2024
TXN233827,U00004,Insurance premium,2548.43,Bills,2024-08-27,8,2024
TXN720644,U00004,Hotstar subscription,143.03,Entertainment,2024-07-20,7,2024
TXN242291,U00004,Netflix subscription,339.62,Entertainment,2024-08-07,8,2024
TXN443254,U00004,Clothes shopping,223.48,Shopping,2024-07-13,7,2024
TXN391773,U00004,Train ticket,1177.62,Transport,2024-07-13,7,2024
TXN120324,U00004,Electronics buy,2930.44,Shopping,2024-08-28,8,2024
TXN335113,U00004,Eye checkup,229.7,Health,2024-06-28,6,2024
TXN142213,U00004,Medicine pharmacy,2745.25,Health,2024-11-29,11,2024
TXN751517,U00004,Grocery store,737.79,Food,2024-01-11,1,2024
TXN219946,U00004,Petrol fuel,485.46,Transport,2024-12-08,12,2024
TXN904150,U00004,Gaming purchase,1654.37,Entertainment,2024-05-11,5,2024
TXN915573,U00004,Mobile recharge,2140.33,Bills,2024-02-28,2,2024
TXN427110,U00004,Rapido bike,422.94,Transport,2024-01-14,1,2024
TXN179688,U00004,Theme park,1418.46,Entertainment,2024-04-11,4,2024
TXN991597,U00004,Gaming purchase,401.56,Entertainment,2024-06-03,6,2024
TXN920652,U00004,Vitamin supplements,2829.07,Health,2024-10-16,10,2024
TXN488571,U00004,Dominos pizza,1887.97,Food,2024-12-04,12,2024
TXN962276,U00005,Amazon Prime,93.65,Entertainment,2024-08-03,8,2024
TXN766459,U00005,Flipkart order,1545.66,Shopping,2024-07-04,7,2024
TXN782054,U00005,Clothes shopping,1552.43,Shopping,2024-09-24,9,2024
TXN912270,U00005,Cable TV,2838.29,Bills,2024-10-02,10,2024
TXN381433,U00005,Sports gear,1552.73,Shopping,2024-10-30,10,2024
TXN392477,U00005,Water bill,2916.02,Bills,2024-02-14,2,2024
TXN739979,U00005,Shoes purchase,2639.14,Shopping,2024-10-18,10,2024
TXN992288,U00005,Yoga class,1210.57,Health,2024-09-10,9,2024
TXN936587,U00005,Mobile recharge,1732.05,Bills,2024-06-30,6,2024
TXN835244,U00005,DTH recharge,1014.82,Bills,2024-11-01,11,2024
TXN189771,U00005,Wifi bill,85.02,Bills,2024-04-07,4,2024
TXN824156,U00005,Auto rickshaw,1735.59,Transport,2024-05-03,5,2024
TXN197573,U00005,Sports gear,1596.2,Shopping,2024-01-09,1,2024
TXN421080,U00005,Water bill,1445.18,Bills,2024-05-04,5,2024
TXN656711,U00005,Vitamin supplements,1323.12,Health,2024-10-10,10,2024
TXN446859,U00005,Insurance premium,3488.38,Bills,2024-10-08,10,2024
TXN341736,U00005,Property tax,984.66,Bills,2024-05-08,5,2024
TXN899213,U00005,Grocery store,1138.64,Food,2024-10-01,10,2024
TXN389930,U00005,Gym membership,710.82,Health,2024-09-04,9,2024
TXN725780,U00005,Vitamin supplements,3419.29,Health,2024-09-25,9,2024
TXN338533,U00005,Internet broadband,2922.57,Bills,2024-05-31,5,2024
TXN660081,U00005,Mobile recharge,1092.82,Bills,2024-12-28,12,2024
TXN406327,U00006,Electricity bill,3411.32,Bills,2024-10-10,10,2024
TXN207570,U00006,Gym membership,2250.65,Health,2024-09-08,9,2024
TXN561865,U00006,Street food,1030.97,Food,2024-09-02,9,2024
TXN600935,U00006,Mobile recharge,3380.97,Bills,2024-05-09,5,2024
TXN705050,U00006,Zomato delivery,1432.44,Food,2024-02-07,2,2024
TXN418594,U00006,Hospital visit,573.46,Health,2024-10-15,10,2024
TXN735770,U00006,Grocery store,458.66,Food,2024-08-01,8,2024
TXN498855,U00006,Bowling night,828.62,Entertainment,2024-09-24,9,2024
TXN549660,U00006,Sports gear,1075.87,Shopping,2024-10-28,10,2024
TXN876039,U00006,Cable TV,2192.54,Bills,2024-11-08,11,2024
TXN792509,U00006,Grocery store,2208.03,Food,2024-05-15,5,2024
TXN178711,U00006,Restaurant dinner,877.53,Food,2024-10-09,10,2024
TXN722656,U00006,Uber ride,1459.39,Transport,2024-12-18,12,2024
TXN841296,U00006,Electronics buy,162.61,Shopping,2024-05-27,5,2024
TXN377405,U00006,Property tax,295.57,Bills,2024-04-29,4,2024
TXN545790,U00006,Vitamin supplements,2331.08,Health,2024-04-11,4,2024
TXN378535,U00006,Milk dairy,825.59,Food,2024-03-17,3,2024
TXN723948,U00006,Ola cab,255.75,Transport,2024-06-06,6,2024
TXN230394,U00006,Vitamin supplements,3228.11,Health,2024-08-12,8,2024
TXN624783,U00006,Electronics buy,2464.08,Shopping,2024-05-19,5,2024
TXN141797,U00006,Books purchase,1560.27,Entertainment,2024-11-02,11,2024
TXN195763,U00006,Mall shopping,2132.81,Shopping,2024-01-14,1,2024
TXN901909,U00006,Toll charge,2075.57,Transport,2024-01-11,1,2024
TXN593355,U00006,Dental checkup,2038.05,Health,2024-03-30,3,2024
TXN713762,U00007,Lab test,3210.45,Health,2024-04-02,4,2024
TXN464863,U00007,Sports gear,3393.24,Shopping,2024-08-28,8,2024
TXN999398,U00007,Mall shopping,1157.65,Shopping,2024-02-23,2,2024
TXN402218,U00007,Bus ticket,1470.18,Transport,2024-09-10,9,2024
TXN138479,U00007,Yoga class,2856.8,Health,2024-10-08,10,2024
TXN221552,U00007,Flipkart order,1135.08,Shopping,2024-06-14,6,2024
TXN789606,U00007,Household items,2896.0,Shopping,2024-01-01,1,2024
TXN643623,U00007,Books purchase,1475.7,Entertainment,2024-04-06,4,2024
TXN563513,U00007,Cable TV,2659.73,Bills,2024-11-16,11,2024
TXN402020,U00007,Grocery store,971.34,Food,2024-03-08,3,2024
TXN738448,U00007,Sports gear,468.92,Shopping,2024-11-18,11,2024
TXN679077,U00007,Metro card recharge,1122.09,Transport,2024-01-08,1,2024
TXN583863,U00007,Flipkart order,825.22,Shopping,2024-02-28,2,2024
TXN633590,U00007,Restaurant dinner,1769.4,Food,2024-05-29,5,2024
TXN595158,U00007,Dental checkup,1483.44,Health,2024-09-04,9,2024
TXN299869,U00007,Train ticket,1951.86,Transport,2024-07-15,7,2024
TXN173201,U00007,Hotstar subscription,2624.71,Entertainment,2024-03-10,3,2024
TXN380150,U00007,Insurance premium,1222.57,Bills,2024-09-16,9,2024
TXN708093,U00007,Cafe coffee,2554.88,Food,2024-10-27,10,2024
TXN664742,U00007,Lab test,3035.15,Health,2024-08-16,8,2024
TXN495533,U00007,Mall shopping,1196.92,Shopping,2024-10-05,10,2024
TXN350405,U00007,Mall shopping,3050.13,Shopping,2024-12-23,12,2024
TXN145767,U00007,Theme park,855.79,Entertainment,2024-07-29,7,2024
TXN504832,U00007,Property tax,2483.04,Bills,2024-07-14,7,2024
TXN232378,U00007,Gym membership,1758.88,Health,2024-01-19,1,2024
TXN986088,U00007,Bowling night,1195.38,Entertainment,2024-02-21,2,2024
TXN116093,U00007,Flipkart order,1864.53,Shopping,2024-08-21,8,2024
TXN261859,U00007,Gym membership,1464.43,Health,2024-12-01,12,2024
TXN455007,U00007,Vegetable market,2746.26,Food,2024-05-15,5,2024
TXN993744,U00007,Theme park,2291.94,Entertainment,2024-06-17,6,2024
TXN757246,U00007,Eye checkup,1361.03,Health,2024-06-11,6,2024
TXN747453,U00007,Lab test,3059.72,Health,2024-01-19,1,2024
TXN338536,U00007,Grocery store,2227.51,Food,2024-05-27,5,2024
TXN897305,U00007,Medicine pharmacy,1547.2,Health,2024-02-20,2,2024
TXN414012,U00007,Medicine pharmacy,1580.69,Health,2024-12-21,12,2024
TXN407618,U00007,Swiggy order,1169.09,Food,2024-01-29,1,2024
TXN532067,U00008,Insurance premium,552.22,Bills,2024-09-28,9,2024
TXN739098,U00008,Spotify music,636.44,Entertainment,2024-02-10,2,2024
TXN711484,U00008,Accessories,2406.81,Shopping,2024-09-11,9,2024
TXN581894,U00008,Petrol fuel,1640.97,Transport,2024-05-10,5,2024
TXN401603,U00008,Electricity bill,3151.23,Bills,2024-08-26,8,2024
TXN462351,U00008,Eye checkup,595.02,Health,2024-08-14,8,2024
TXN823846,U00008,Concert tickets,2254.34,Entertainment,2024-08-05,8,2024
TXN503380,U00008,Property tax,2966.3,Bills,2024-04-11,4,2024
TXN476395,U00008,Flipkart order,868.36,Shopping,2024-10-19,10,2024
TXN123005,U00008,Concert tickets,3474.79,Entertainment,2024-05-31,5,2024
TXN819112,U00008,Yoga class,996.96,Health,2024-10-16,10,2024
TXN973294,U00008,Hospital visit,3191.63,Health,2024-09-11,9,2024
TXN329642,U00008,Water bill,2144.37,Bills,2024-06-29,6,2024
TXN892280,U00008,Doctor consultation,2192.07,Health,2024-12-13,12,2024
TXN777737,U00008,Gym membership,2217.46,Health,2024-11-17,11,2024
TXN707727,U00008,Cafe coffee,2770.71,Food,2024-01-18,1,2024
TXN442589,U00008,Mobile recharge,360.96,Bills,2024-05-31,5,2024
TXN924718,U00008,Yoga class,655.96,Health,2024-03-08,3,2024
TXN970813,U00008,Amazon Prime,1881.44,Entertainment,2024-05-19,5,2024
TXN945664,U00008,Rapido bike,3203.47,Transport,2024-09-03,9,2024
TXN178957,U00008,DTH recharge,2824.6,Bills,2024-08-27,8,2024
TXN516716,U00008,Petrol fuel,3017.49,Transport,2024-12-11,12,2024
TXN114594,U00008,Amazon Prime,361.54,Entertainment,2024-07-21,7,2024
TXN805511,U00008,Wifi bill,476.38,Bills,2024-07-07,7,2024
TXN489518,U00008,Dental checkup,2066.73,Health,2024-11-22,11,2024
TXN688678,U00008,Grocery store,1676.6,Food,2024-11-13,11,2024
TXN766269,U00008,Cable TV,813.72,Bills,2024-02-02,2,2024
TXN246566,U00008,Electronics buy,2289.88,Shopping,2024-02-29,2,2024
TXN221761,U00008,Swiggy order,1100.06,Food,2024-09-09,9,2024
TXN507524,U00008,Grocery store,3111.04,Food,2024-03-10,3,2024
TXN666432,U00008,Mall shopping,2363.18,Shopping,2024-12-22,12,2024
TXN203831,U00009,Spotify music,3104.68,Entertainment,2024-12-01,12,2024
TXN134305,U00009,Accessories,1458.0,Shopping,2024-05-23,5,2024
TXN347582,U00009,Health insurance,799.58,Health,2024-08-15,8,2024
TXN670913,U00009,Internet broadband,3434.2,Bills,2024-07-07,7,2024
TXN299028,U00009,Health insurance,258.9,Health,2024-05-21,5,2024
TXN772875,U00009,Vegetable market,366.27,Food,2024-04-18,4,2024
TXN925013,U00009,Vitamin supplements,3400.27,Health,2024-01-26,1,2024
TXN315173,U00009,Water bill,3461.43,Bills,2024-10-16,10,2024
TXN952547,U00009,Milk dairy,764.69,Food,2024-04-20,4,2024
TXN102973,U00009,Bus ticket,2721.57,Transport,2024-11-01,11,2024
TXN362829,U00009,Mobile recharge,3456.97,Bills,2024-10-03,10,2024
TXN238205,U00009,Ola cab,2330.65,Transport,2024-01-14,1,2024
TXN717457,U00009,Dominos pizza,2775.45,Food,2024-05-01,5,2024
TXN232915,U00009,Electricity bill,651.15,Bills,2024-01-27,1,2024
TXN599380,U00009,Yoga class,1865.0,Health,2024-02-02,2,2024
TXN573962,U00009,Mall shopping,1820.67,Shopping,2024-02-25,2,2024
TXN862569,U00009,Gaming purchase,3311.68,Entertainment,2024-01-23,1,2024
TXN132663,U00009,Eye checkup,1090.62,Health,2024-11-25,11,2024
TXN819425,U00009,Vegetable market,2973.18,Food,2024-08-06,8,2024
TXN177060,U00009,Vegetable market,2507.78,Food,2024-08-15,8,2024
TXN232321,U00009,Dominos pizza,2148.63,Food,2024-02-03,2,2024
TXN846746,U00009,Cable TV,2234.11,Bills,2024-10-07,10,2024
TXN409222,U00009,Insurance premium,3481.47,Bills,2024-09-28,9,2024
TXN931621,U00009,Household items,2138.72,Shopping,2024-02-20,2,2024
TXN906315,U00009,Medicine pharmacy,2992.13,Health,2024-11-29,11,2024
TXN533914,U00009,Gaming purchase,1533.74,Entertainment,2024-04-26,4,2024
TXN427730,U00009,Property tax,1425.62,Bills,2024-02-18,2,2024
TXN260053,U00009,Mall shopping,2344.62,Shopping,2024-07-10,7,2024
TXN197758,U00009,Lab test,281.61,Health,2024-02-13,2,2024
TXN951201,U00009,Flipkart order,2618.83,Shopping,2024-07-09,7,2024
TXN688967,U00009,Flight booking,256.93,Transport,2024-10-14,10,2024
TXN886730,U00009,Internet broadband,1467.29,Bills,2024-12-06,12,2024
TXN427626,U00009,Amazon purchase,3390.98,Shopping,2024-11-03,11,2024
TXN788637,U00010,Street food,1800.57,Food,2024-03-20,3,2024
TXN986438,U00010,Shoes purchase,2973.1,Shopping,2024-06-28,6,2024
TXN701987,U00010,Amazon Prime,446.35,Entertainment,2024-05-22,5,2024
TXN743378,U00010,Auto rickshaw,2965.79,Transport,2024-11-14,11,2024
TXN969752,U00010,Eye checkup,140.58,Health,2024-12-02,12,2024
TXN836833,U00010,Dental checkup,149.89,Health,2024-05-19,5,2024
TXN250210,U00010,DTH recharge,1261.03,Bills,2024-04-02,4,2024
TXN132146,U00010,Theme park,290.07,Entertainment,2024-11-20,11,2024
TXN575682,U00010,Milk dairy,792.21,Food,2024-08-02,8,2024
TXN914571,U00010,Mobile recharge,1326.68,Bills,2024-06-15,6,2024
TXN263137,U00010,Bowling night,343.1,Entertainment,2024-01-27,1,2024
TXN385320,U00010,Toll charge,221.68,Transport,2024-02-11,2,2024
TXN534303,U00010,Myntra fashion,1725.53,Shopping,2024-08-14,8,2024
TXN461939,U00010,Water bill,2654.55,Bills,2024-02-28,2,2024
TXN721946,U00010,Flipkart order,1027.2,Shopping,2024-12-13,12,2024
TXN331230,U00010,Household items,2351.61,Shopping,2024-01-24,1,2024
TXN416061,U00010,Accessories,239.0,Shopping,2024-04-14,4,2024
TXN444061,U00010,Metro card recharge,2686.36,Transport,2024-05-28,5,2024
TXN284229,U00010,Swiggy order,1765.98,Food,2024-08-08,8,2024
TXN624563,U00010,Auto rickshaw,1887.41,Transport,2024-04-27,4,2024
TXN557409,U00010,Amazon Prime,298.66,Entertainment,2024-01-22,1,2024
TXN703727,U00010,Vegetable market,3228.01,Food,2024-06-09,6,2024
TXN537983,U00010,Accessories,1445.26,Shopping,2024-11-23,11,2024
TXN280222,U00010,Internet broadband,1447.36,Bills,2024-06-15,6,2024
TXN192410,U00010,Books purchase,2920.49,Entertainment,2024-07-04,7,2024
TXN519902,U00010,Flipkart order,889.44,Shopping,2024-10-28,10,2024
TXN882033,U00010,Movie tickets,1415.4,Entertainment,2024-06-07,6,2024
TXN180089,U00010,Water bill,1199.09,Bills,2024-03-27,3,2024
TXN913934,U00010,Movie tickets,1880.59,Entertainment,2024-04-09,4,2024
TXN954628,U00010,DTH recharge,2559.46,Bills,2024-11-26,11,2024
TXN306854,U00010,Petrol fuel,404.68,Transport,2024-05-11,5,2024
TXN179013,U00011,Spotify music,2672.74,Entertainment,2024-12-01,12,2024
TXN896788,U00011,Train ticket,1650.64,Transport,2024-10-15,10,2024
TXN774225,U00011,Books purchase,2399.91,Entertainment,2024-10-16,10,2024
TXN431495,U00011,Vitamin supplements,1165.07,Health,2024-11-17,11,2024
TXN762055,U00011,Train ticket,285.59,Transport,2024-08-14,8,2024
TXN631981,U00011,Gas cylinder,2090.4,Bills,2024-06-29,6,2024
TXN159653,U00011,Cafe coffee,1643.01,Food,2024-01-20,1,2024
TXN744883,U00011,Gas cylinder,314.72,Bills,2024-02-16,2,2024
TXN681242,U00011,Hotstar subscription,1376.46,Entertainment,2024-10-24,10,2024
TXN783501,U00011,Hospital visit,1601.58,Health,2024-10-19,10,2024
TXN258189,U00011,Bus ticket,2137.27,Transport,2024-09-13,9,2024
TXN849014,U00011,Vegetable market,407.08,Food,2024-06-24,6,2024
TXN359778,U00011,Milk dairy,2279.14,Food,2024-01-21,1,2024
TXN648141,U00011,Lab test,3468.9,Health,2024-09-25,9,2024
TXN506235,U00011,Spotify music,1305.45,Entertainment,2024-05-24,5,2024
TXN927564,U00011,Mall shopping,2392.2,Shopping,2024-01-27,1,2024
TXN685066,U00011,Health insurance,277.4,Health,2024-02-18,2,2024
TXN731977,U00011,Yoga class,1030.31,Health,2024-12-02,12,2024
TXN248298,U00011,Bus ticket,331.18,Transport,2024-12-05,12,2024
TXN794299,U00011,Gas cylinder,3388.55,Bills,2024-12-23,12,2024
TXN424620,U00011,Clothes shopping,2102.89,Shopping,2024-02-13,2,2024
TXN952686,U00011,Theme park,2270.05,Entertainment,2024-06-17,6,2024
TXN543973,U00011,Flight booking,372.41,Transport,2024-12-09,12,2024
TXN289019,U00011,Amazon Prime,112.9,Entertainment,2024-06-07,6,2024
TXN301332,U00011,Bus ticket,3319.46,Transport,2024-09-05,9,2024
TXN632351,U00012,Metro card recharge,316.22,Transport,2024-02-21,2,2024
TXN903531,U00012,Hotstar subscription,180.23,Entertainment,2024-06-21,6,2024
TXN270128,U00012,Spotify music,2110.5,Entertainment,2024-03-19,3,2024
TXN856215,U00012,Toll charge,2841.2,Transport,2024-03-25,3,2024
TXN854540,U00012,Amazon purchase,1467.46,Shopping,2024-12-12,12,2024
TXN345369,U00012,Train ticket,2156.55,Transport,2024-08-17,8,2024
TXN975679,U00012,Gaming purchase,1117.66,Entertainment,2024-08-28,8,2024
TXN561999,U00012,Bus ticket,2390.16,Transport,2024-10-19,10,2024
TXN653081,U00012,Electronics buy,2734.53,Shopping,2024-09-14,9,2024
TXN245121,U00012,Clothes shopping,2868.27,Shopping,2024-11-05,11,2024
TXN681478,U00012,Electricity bill,2262.07,Bills,2024-07-09,7,2024
TXN187949,U00012,Milk dairy,2986.52,Food,2024-05-25,5,2024
TXN254506,U00012,Rapido bike,1600.15,Transport,2024-09-19,9,2024
TXN956375,U00012,Flipkart order,3315.13,Shopping,2024-04-23,4,2024
TXN155843,U00012,Mall shopping,3260.13,Shopping,2024-07-31,7,2024
TXN185569,U00012,Household items,1340.17,Shopping,2024-07-16,7,2024
TXN979940,U00012,Water bill,147.25,Bills,2024-02-20,2,2024
TXN140163,U00012,Health insurance,2780.26,Health,2024-03-11,3,2024
TXN895702,U00012,Property tax,2451.45,Bills,2024-03-12,3,2024
TXN183074,U00012,Lab test,1597.68,Health,2024-01-03,1,2024
TXN675462,U00012,Cafe coffee,794.01,Food,2024-03-17,3,2024
TXN913875,U00012,Vitamin supplements,1870.81,Health,2024-02-26,2,2024
