user_id,category,monthly_limit_inr,month,year
U00011,Food,3884.63,4,2024
U00011,Transport,1207.49,11,2024
U00011,Bills,2154.52,5,2024
U00011,Shopping,2396.74,8,2024
U00011,Entertainment,919.33,4,2024
U00011,Health,1892.83,10,2024
U00012,Food,3811.57,10,2024
U00012,Transport,1793.4,2,2024
U00012,Bills,2423.43,12,2024
U00012,Shopping,1691.07,5,2024
U00012,Entertainment,1453.49,4,2024
U00012,Health,2125.05,12,2024
U00013,Food,4042.73,4,2024
U00013,Transport,2090.05,1,2024
U00013,Bills,2988.73,12,2024
U00013,Shopping,2548.83,10,2024
U00013,Entertainment,977.04,9,2024
U00013,Health,2127.26,1,2024
U00014,Food,4369.57,11,2024
U00014,Transport,1906.75,11,2024
U00014,Bills,1672.61,6,2024
U00014,Shopping,2205.57,7,2024
U00014,Entertainment,991.82,11,2024
U00014,Health,1744.21,8,2024
U00015,Food,3159.09,1,2024
U00015,Transport,2127.99,4,2024
U00015,Bills,1665.75,7,2024
U00015,Shopping,2345.37,6,2024
U00015,Entertainment,803.61,4,2024
U00015,Health,1551.44,10,2024
U00016,Food,4096.11,12,2024
U00016,Transport,1436.91,12,2024
U00016,Bills,2193.35,2,2024
U00016,Shopping,2883.79,4,2024
U00016,Entertainment,915.14,5,2024
U00016,Health,1265.99,11,2024
U00017,Food,2603.12,8,2024
U00017,Transport,1653.55,1,2024
U00017,Bills,2429.54,11,2024
U00017,Shopping,2909.09,5,2024
U00017,Entertainment,973.01,8,2024
U00017,Health,1450.28,6,2024
U00018,Food,4148.29,6,2024
U00018,Transport,1745.66,4,2024
U00018,Bills,2920.97,10,2024
U00018,Shopping,2467.39,2,2024
U00018,Entertainment,1237.74,10,2024
U00018,Health,1331.07,1,2024
U00019,Food,4325.1,7,2024
U00019,Transport,1528.94,12,2024
U00019,Bills,1691.04,3,2024
U00019,Shopping,1686.8,8,2024
U00019,Entertainment,838.35,10,2024
U00019,Health,1857.49,2,2024
U00020,Food,2613.84,1,2024
U00020,Transport,1787.22,5,2024
U00020,Bills,2789.9,7,2024
U00020,Shopping,1734.16,7,2024
U00020,Entertainment,963.18,10,2024
U00020,Health,2026.85,10,2024
U00021,Food,2422.27,7,2024
U00021,Transport,1687.42,7,2024
U00021,Bills,2831.91,10,2024
U00021,Shopping,1741.79,11,2024
U00021,Entertainment,1456.31,1,2024
U00021,Health,1676.78,6,2024
U00022,Food,3634.41,2,2024
U00022,Transport,1307.82,10,2024
U00022,Bills,2598.62,10,2024
U00022,Shopping,2705.18,4,2024
U00022,Entertainment,1433.06,3,2024
U00022,Health,1869.23,5,2024
U00023,Food,3146.32,8,2024
U00023,Transport,1960.85,8,2024
U00023,Bills,1860.29,3,2024
U00023,Shopping,2715.84,1,2024
U00023,Entertainment,889.38,10,2024
U00023,Health,1657.64,11,2024
U00024,Food,3984.18,5,2024
U00024,Transport,1812.85,9,2024
U00024,Bills,2685.69,3,2024
U00024,Shopping,2257.33,10,2024
U00024,Entertainment,1040.03,6,2024
U00024,Health,2218.78,9,2024
U00025,Food,3631.52,11,2024
U00025,Transport,1351.83,4,2024
U00025,Bills,2309.95,9,2024
U00025,Shopping,2802.18,7,2024
U00025,Entertainment,1040.67,4,2024
U00025,Health,1872.58,4,2024
U00026,Food,4049.05,6,2024
U00026,Transport,1398.82,8,2024
U00026,Bills,2572.69,8,2024
U00026,Shopping,2439.67,6,2024
U00026,Entertainment,1396.41,10,2024
U00026,Health,2211.22,10,2024
U00027,Food,3029.23,6,2024
U00027,Transport,1370.39,8,2024
U00027,Bills,2826.55,1,2024
U00027,Shopping,2294.3,1,2024
U00027,Entertainment,1247.14,12,2024
U00027,Health,1441.79,10,2024
U00028,Food,2847.59,8,2024
U00028,Transport,1971.32,6,2024
U00028,Bills,2730.18,7,2024
U00028,Shopping,1887.44,3,2024
U00028,Entertainment,1378.26,1,2024
U00028,Health,1580.96,2,2024
U00029,Food,3151.56,9,2024
U00029,Transport,1320.95,5,2024
U00029,Bills,2216.57,11,2024
U00029,Shopping,2419.96,6,2024
U00029,Entertainment,830.73,1,2024
U00029,Health,1409.08,5,2024
U00030,Food,2765.71,5,2024
U00030,Transport,1954.78,6,2024
U00030,Bills,2786.55,4,2024
U00030,Shopping,1849.96,1,2024
U00030,Entertainment,923.25,5,2024
U00030,Health,2156.18,1,2024
