description,category
mess food hostel lunch,Food
health insurance premium,Health
ola taxi booking trip,Transport
medical equipment purchase,Health
postpaid mobile bill,Bills
postpaid mobile bill 437,Bills
netflix subscription streaming 3404,Entertainment
ajio clothing brand 1261,Shopping
book stationery notebook 3700,Shopping
toys kids purchase,Shopping
ott yearly subscription 1067,Entertainment
rto vehicle tax registration 3065,Transport
vehicle service maintenance,Transport
cable tv subscription,Bills
nykaa beauty cosmetics,Shopping
electricity bseb bescom 1261,Bills
chinese food noodles,Food
insurance premium monthly 4657,Bills
cycle rental bike 4033,Transport
bowling gaming zone night out 3467,Entertainment
ott platform combined,Bills
driver salary monthly,Transport
haldirams snacks namkeen,Food
hotel breakfast buffet,Food
book stationery notebook,Shopping
karaoke night pub outing,Entertainment
vehicle service maintenance 3491,Transport
electric scooter charge,Transport
karaoke night pub outing 755,Entertainment
tea chai tapri morning 713,Food
blinkit grocery instant,Food
piped gas monthly bill 3697,Bills
gas cylinder booking 3802,Bills
diagnostic scan mri xray 596,Health
cab airport drop pickup,Transport
water bill municipal,Bills
cycle rental bike,Transport
dinner family meal 2777,Food
meesho order fashion 2824,Shopping
amazon shopping online order,Shopping
concert event ticket 1752,Entertainment
physiotherapy session 2273,Health
dosa idli south indian,Food
clothes shopping mall 2723,Shopping
rapido bike ride 3932,Transport
dth dish tv recharge 1486,Bills
physiotherapy session 4388,Health
cycle rental bike 765,Transport
gaming pc mobile purchase 2320,Entertainment
meesho order fashion 765,Shopping
spotify music premium 4888,Entertainment
dental checkup teeth cleaning,Health
lab blood test report 1551,Health
property tax payment 1007,Bills
medicine pharmacy prescription 1247,Health
uber cab ride office,Transport
stationery office supply,Shopping
hotstar disney subscription 3445,Entertainment
offline retail store purchase,Shopping
bowling gaming zone night out 4097,Entertainment
postpaid mobile bill 1456,Bills
chinese food noodles 2800,Food
kitchenware utensils 2928,Shopping
mental health therapy 1227,Health
ajio clothing brand 1855,Shopping
property tax payment,Bills
gifting birthday present,Shopping
lpg gas cylinder refill,Bills
hospital doctor visit fee 2176,Health
vitamin supplement protein powder 3008,Health
yoga class session monthly 483,Health
flipkart purchase delivery 1192,Shopping
book stationery notebook 253,Shopping
restaurant dinner date,Food
broadband airtel jio,Bills
piped gas monthly bill 1381,Bills
stationery office supply 1007,Shopping
maintenance society charges,Bills
cricket match stadium 3443,Entertainment
mental health therapy,Health
rent apartment monthly 2541,Bills
rto vehicle tax registration,Transport
mess food hostel lunch 61,Food
toll tax highway charge 3752,Transport
hotstar disney subscription 2508,Entertainment
mobile phone recharge prepaid,Bills
shoes footwear purchase,Shopping
accessories jewellery buy,Shopping
gas cylinder booking 2942,Bills
toys kids purchase 4991,Shopping
travel tourism sightseeing,Entertainment
parking fees monthly,Transport
stationery office supply 767,Shopping
metro card recharge daily 1592,Transport
comedy show standup ticket,Entertainment
electronics gadget mobile,Shopping
dinner family meal,Food
mess food hostel lunch 4493,Food
ice cream parlour dessert 3853,Food
rent apartment monthly 2183,Bills
discount sale festival shopping 4240,Shopping
maintenance society charges 3096,Bills
furniture home decor 2763,Shopping
tiffin dabba lunch box 4802,Food
electric scooter charge 4485,Transport
amazon prime video 4603,Entertainment
cricket match stadium 3674,Entertainment
zomato food delivery pizza 959,Food
metro card recharge daily 945,Transport
museum gallery visit,Entertainment
piped gas monthly bill 2386,Bills
mess food hostel lunch 3370,Food
mental health therapy 835,Health
generator fuel maintenance 1086,Bills
movie theatre multiplex ticket,Entertainment
swiggy order biryani,Food
dietitian nutritionist consultation,Health
dietitian nutritionist consultation 3986,Health
metro card recharge daily 230,Transport
eye checkup optician spectacles,Health
fuel diesel refill 2858,Transport
furniture home decor,Shopping
cycle rental bike 225,Transport
dosa idli south indian 1746,Food
auto rickshaw local fare,Transport
water bill municipal 254,Bills
bowling gaming zone night out 4587,Entertainment
gaming pc mobile purchase,Entertainment
netflix subscription streaming 1311,Entertainment
lunch canteen office,Food
hospital doctor visit fee 1171,Health
ajio clothing brand 3104,Shopping
dermatologist skin treatment,Health
dominos pizza online 3084,Food
theme park amusement ride 3689,Entertainment
cafe latte coffee morning,Food
piped gas monthly bill,Bills
blinkit grocery instant 317,Food
amazon prime video,Entertainment
household items home,Shopping
live sports match ticket,Entertainment
yoga class session monthly,Health
gas cylinder booking 1370,Bills
train ticket irctc booking,Transport
dth dish tv recharge 1367,Bills
generator fuel maintenance 1130,Bills
yoga class session monthly 4504,Health
milk bread dairy morning,Food
intercity bus redbus ticket,Transport
nursing care home,Health
toll tax highway charge,Transport
lunch canteen office 3051,Food
vaccination flu shot injection,Health
flipkart purchase delivery,Shopping
blinkit grocery instant 3031,Food
generator fuel maintenance,Bills
dental checkup teeth cleaning 3107,Health
escape room puzzle game,Entertainment
broadband airtel jio 1328,Bills
tiffin dabba lunch box,Food
ayurveda herbal treatment,Health
dth dish tv recharge,Bills
petrol fuel bike car 3901,Transport
spotify music premium,Entertainment
books reading kindle,Entertainment
tiffin dabba lunch box 499,Food
travel tourism sightseeing 3846,Entertainment
ayurveda herbal treatment 2640,Health
lab blood test report,Health
nykaa beauty cosmetics 3078,Shopping
juice bar smoothie,Food
bigbasket order home 1727,Food
uber cab ride office 2451,Transport
ambulance emergency charge,Health
bowling gaming zone night out 1391,Entertainment
dietitian nutritionist consultation 3622,Health
amazon shopping online order 2381,Shopping
sports equipment gym gear,Shopping
juice bar smoothie 384,Food
zoo aquarium visit,Entertainment
internet broadband wifi bill 2646,Bills
sports equipment gym gear 234,Shopping
ott yearly subscription,Entertainment
medicine pharmacy prescription 2424,Health
grocery vegetables fruits,Food
electricity bill payment monthly,Bills
wedding food catering banquet 1896,Food
zomato food delivery pizza,Food
vegetable market sabzi 4470,Food
ola electric ev ride 4364,Transport
netflix subscription streaming,Entertainment
wedding food catering banquet 2260,Food
vitamin supplement protein powder,Health
petrol fuel bike car 1262,Transport
mess food hostel lunch 1768,Food
physiotherapy session,Health
amazon prime video 3177,Entertainment
fast food burger fries,Food
bus ticket pass monthly 2412,Transport
kitchenware utensils,Shopping
dermatologist skin treatment 4801,Health
postpaid mobile bill 3784,Bills
gym membership monthly fitness 4259,Health
ott yearly subscription 395,Entertainment
hotel breakfast buffet 2939,Food
grocery vegetables fruits 3969,Food
discount sale festival shopping,Shopping
household items home 2326,Shopping
mental health therapy 4022,Health
flipkart purchase delivery 1648,Shopping
meesho order fashion,Shopping
petrol fuel bike car,Transport
cafe latte coffee morning 2793,Food
zoo aquarium visit 774,Entertainment
amazon prime video 4079,Entertainment
tea chai tapri morning,Food
myntra fashion clothes,Shopping
medical equipment purchase 3013,Health
clothes shopping mall 4460,Shopping
gym membership monthly fitness,Health
piped gas monthly bill 2520,Bills
cable tv subscription 1907,Bills
lpg gas cylinder refill 4141,Bills
toll tax highway charge 1598,Transport
metro card recharge daily 3250,Transport
bowling gaming zone night out,Entertainment
landline bill bsnl,Bills
ambulance emergency charge 2837,Health
ice cream parlour dessert,Food
gifting birthday present 4362,Shopping
ola electric ev ride,Transport
internet broadband wifi bill,Bills
diagnostic scan mri xray,Health
parking fees monthly 3422,Transport
